"Replication","RBO_p0.9","Kendall_Tau"
2,0.355515986207289,0.617924528301887
3,0.729459373796645,0.821069182389937
4,0.625156724955603,0.883333333333333
5,0.607784037243627,0.905345911949686
6,0.778397529290249,0.938364779874214
7,0.902503709425991,0.94622641509434
8,0.834659963093378,0.949842767295597
9,0.766049685801358,0.962735849056604
10,0.962631823251682,0.971698113207547
11,0.886093749918042,0.966981132075472
12,0.918564215854321,0.97374213836478
13,0.849327323490051,0.97374213836478
14,0.967316680034535,0.977201257861635
15,0.987912455321864,0.97940251572327
16,0.957519334014102,0.979874213836478
17,0.913015219012677,0.982232704402516
18,0.986927529586973,0.983176100628931
19,0.949426010357695,0.984905660377358
20,0.991526812257728,0.982704402515723
