"Replication","RBO_p0.9","Kendall_Tau"
2,0.3069535444672,0.59916347159289
3,0.427071065049079,0.814743813175322
4,0.584050271565589,0.881317532241199
5,0.580539094741333,0.920529801324503
6,0.793502215833108,0.91617288253747
7,0.740411621334337,0.93813175322412
8,0.846345027015247,0.943882886023005
9,0.918592455672336,0.952596723597072
10,0.900277787443176,0.960613454165214
11,0.962820063010732,0.964970372952248
12,0.812892628461899,0.962181944928547
13,0.936371864108008,0.968107354478912
14,0.942826753948745,0.974032764029279
15,0.932739303291775,0.972289996514465
16,0.985127157690829,0.979261066573719
17,0.975053876192198,0.970895782502614
18,0.997066026162695,0.974555594283723
19,0.992750262013546,0.978215406064831
20,0.778750410114241,0.98065528058557
